player_name,matches_played,innings,total_runs,total_wickets,strike_rate,batting_average,economy,bowling_average,highest_score,highest_score_opponent,best_bowling,best_bowling_opponent,hundreds,fifties,teams_played
"A Ashish Reddy",28,23,280,18,142.86,18.67,9.16,22.22,36,"Chennai Super Kings",3/25,"Royal Challengers Bengaluru",NULL,NULL,"Deccan Chargers
Sunrisers Hyderabad"
"A Badoni",35,35,634,2,125.54,25.36,8.88,18.50,59,"Chennai Super Kings",1/5,"Rajasthan Royals",NULL,4,"Lucknow Super Giants"
"A Chandila",12,2,4,11,57.14,NULL,6.28,22.27,4,"Royal Challengers Bengaluru",4/13,"Pune Warriors",NULL,NULL,"Rajasthan Royals"
"A Chopra",6,6,53,NULL,70.67,10.60,NULL,NULL,24,"Deccan Chargers",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"A Choudhary",5,3,25,5,125.00,25.00,8.55,28.80,15,"Gujarat Lions",2/17,"Punjab Kings",NULL,NULL,"Royal Challengers Bengaluru"
"A Dananjaya",1,1,4,NULL,80.00,NULL,11.75,NULL,4,"Delhi Capitals",0/47,"Delhi Capitals",NULL,NULL,"Mumbai Indians"
"A Flintoff",3,3,62,2,108.77,31.00,9.64,53.00,24,"Mumbai Indians",1/11,"Royal Challengers Bengaluru",NULL,NULL,"Chennai Super Kings"
"A Kamboj",3,1,2,2,100.00,NULL,11.50,57.50,2,"Kolkata Knight Riders",1/24,"Kolkata Knight Riders",NULL,NULL,"Mumbai Indians"
"A Kumble",42,15,35,45,71.43,17.50,6.77,24.20,8,"Rajasthan Royals",5/5,"Rajasthan Royals",NULL,NULL,"Royal Challengers Bengaluru"
"A Manohar",15,15,231,NULL,127.62,16.50,NULL,NULL,43,"Rajasthan Royals",NULL,NULL,NULL,NULL,"Gujarat Titans"
"A Mishra",162,55,381,174,86.59,13.61,7.46,24.10,31,"Kolkata Knight Riders",5/17,"Deccan Chargers",NULL,NULL,"Deccan Chargers
Delhi Capitals
Lucknow Super Giants
Sunrisers Hyderabad"
"A Mithun",16,6,34,7,130.77,6.80,9.94,68.14,11,"Chennai Super Kings",2/37,"Delhi Capitals",NULL,NULL,"Royal Challengers Bengaluru"
"A Mukund",2,2,19,NULL,82.61,9.50,NULL,NULL,19,"Rajasthan Royals",NULL,NULL,NULL,NULL,"Chennai Super Kings
Royal Challengers Bengaluru"
"A Nehra",88,17,41,106,65.08,6.83,7.98,23.93,22,"Deccan Chargers",4/10,"Royal Challengers Bengaluru",NULL,NULL,"Chennai Super Kings
Delhi Capitals
Mumbai Indians
Pune Warriors
Sunrisers Hyderabad"
"A Nel",1,NULL,NULL,1,NULL,NULL,10.33,31.00,NULL,NULL,1/31,"Delhi Capitals",NULL,NULL,NULL
"A Nortje",46,13,49,60,96.08,9.80,9.19,26.90,23,"Royal Challengers Bengaluru",3/33,"Kolkata Knight Riders",NULL,NULL,"Delhi Capitals"
"A Raghuvanshi",7,7,163,NULL,149.54,23.29,NULL,NULL,54,"Delhi Capitals",NULL,NULL,NULL,1,"Kolkata Knight Riders"
"A Singh",23,5,2,28,20.00,0.50,8.11,22.82,1,"Chennai Super Kings",4/19,"Royal Challengers Bengaluru",NULL,NULL,"Rajasthan Royals"
"A Symonds",36,36,974,20,124.71,40.58,7.90,34.70,117,"Rajasthan Royals",3/21,"Delhi Capitals",1,5,"Deccan Chargers
Mumbai Indians"
"A Tomar",1,1,4,NULL,50.00,4.00,NULL,NULL,4,"Lucknow Super Giants",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"A Uniyal",2,2,4,2,57.14,4.00,11.17,33.50,4,"Delhi Capitals",2/41,"Mumbai Indians",NULL,NULL,"Rajasthan Royals"
"A Zampa",20,5,15,29,60.00,3.00,8.05,19.38,7,"Gujarat Titans",6/19,"Sunrisers Hyderabad",NULL,NULL,"Rajasthan Royals
Rising Pune Supergiant"
"AA Bilakhia",7,7,69,NULL,78.41,13.80,NULL,NULL,22,"Delhi Capitals",NULL,NULL,NULL,NULL,"Deccan Chargers"
"AA Chavan",13,3,12,8,109.09,12.00,8.20,42.38,7,"Delhi Capitals",2/23,"Kolkata Knight Riders",NULL,NULL,"Rajasthan Royals"
"AA Jhunjhunwala",18,15,217,1,99.54,18.08,9.18,130.00,53,"Delhi Capitals",1/13,"Chennai Super Kings",NULL,1,"Deccan Chargers
Pune Warriors
Rajasthan Royals"
"AA Kazi",1,NULL,NULL,NULL,NULL,NULL,10.50,NULL,NULL,NULL,0/21,"Rajasthan Royals",NULL,NULL,NULL
"AA Kulkarni",2,2,9,NULL,112.50,4.50,NULL,NULL,9,"Kolkata Knight Riders",NULL,NULL,NULL,NULL,"Lucknow Super Giants"
"AA Noffke",1,1,9,1,75.00,9.00,10.25,41.00,9,"Kolkata Knight Riders",1/40,"Kolkata Knight Riders",NULL,NULL,"Royal Challengers Bengaluru"
"AB Agarkar",42,18,179,29,111.88,22.38,9.01,40.48,39,"Delhi Capitals",3/25,"Royal Challengers Bengaluru",NULL,NULL,"Delhi Capitals
Kolkata Knight Riders"
"AB Barath",3,3,42,NULL,97.67,21.00,NULL,NULL,33,"Mumbai Indians",NULL,NULL,NULL,NULL,"Punjab Kings"
"AB de Villiers",170,172,5181,NULL,148.58,42.47,NULL,NULL,133,"Mumbai Indians",NULL,NULL,3,41,"Delhi Capitals
Royal Challengers Bengaluru"
"AB Dinda",76,16,26,69,52.00,2.89,8.32,30.48,7,"Delhi Capitals",4/18,"Mumbai Indians",NULL,NULL,"Delhi Capitals
Kolkata Knight Riders
Pune Warriors
Rising Pune Supergiant
Royal Challengers Bengaluru"
"AB McDonald",10,9,123,11,119.42,24.60,8.48,23.91,33,"Mumbai Indians",2/25,"Punjab Kings",NULL,NULL,"Delhi Capitals
Royal Challengers Bengaluru"
"Abdul Basith",1,1,1,NULL,100.00,NULL,NULL,NULL,1,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"Abdul Samad",39,40,579,2,141.91,19.30,12.56,56.50,37,"Royal Challengers Bengaluru",1/9,"Punjab Kings",NULL,NULL,"Sunrisers Hyderabad"
"Abdur Razzak",1,1,0,NULL,0.00,NULL,14.50,NULL,0,"Rajasthan Royals",0/29,"Rajasthan Royals",NULL,NULL,"Royal Challengers Bengaluru"
"Abhishek Sharma",63,61,1377,11,148.86,25.50,8.80,36.00,75,"Lucknow Super Giants",2/4,"Mumbai Indians",NULL,7,"Delhi Capitals
Sunrisers Hyderabad"
"Abishek Porel",16,16,360,NULL,147.54,25.71,NULL,NULL,65,"Rajasthan Royals",NULL,NULL,NULL,2,"Delhi Capitals"
"AC Blizzard",7,7,120,NULL,131.87,17.14,NULL,NULL,51,"Kolkata Knight Riders",NULL,NULL,NULL,1,"Mumbai Indians"
"AC Gilchrist",80,80,2069,1,133.05,27.59,0.00,0.00,109,"Mumbai Indians",1/0,"Mumbai Indians",2,11,"Deccan Chargers
Punjab Kings"
"AC Thomas",15,4,20,14,105.26,10.00,7.92,29.71,12,"Deccan Chargers",3/22,"Delhi Capitals",NULL,NULL,"Pune Warriors"
"AC Voges",8,7,181,NULL,126.57,45.25,8.44,NULL,45,"Punjab Kings",0/5,"Kolkata Knight Riders",NULL,NULL,"Rajasthan Royals"
"AD Hales",6,6,148,NULL,124.37,24.67,NULL,NULL,45,"Delhi Capitals",NULL,NULL,NULL,NULL,"Sunrisers Hyderabad"
"AD Mascarenhas",13,11,79,19,100.00,8.78,7.11,19.21,27,"Kolkata Knight Riders",5/25,"Pune Warriors",NULL,NULL,"Punjab Kings
Rajasthan Royals"
"AD Mathews",46,41,724,27,120.87,25.86,8.31,40.56,65,"Deccan Chargers",4/19,"Royal Challengers Bengaluru",NULL,1,"Delhi Capitals
Kolkata Knight Riders
Pune Warriors"
"AD Nath",10,10,90,NULL,90.91,9.00,NULL,NULL,24,"Chennai Super Kings",NULL,NULL,NULL,NULL,"Gujarat Lions
Punjab Kings
Royal Challengers Bengaluru"
"AD Russell",123,105,2488,115,164.22,30.34,9.51,23.40,88,"Chennai Super Kings",5/15,"Mumbai Indians",NULL,11,"Delhi Capitals
Kolkata Knight Riders"
